Name,Sequence,Latitude,Longitude,Radius,Radius Units
NIGERIA,151,5.517559,5.566441,,
NIGERIA,152,5.52098,5.531604,,
NIGERIA,153,5.510715,5.513162,,
NIGERIA,154,5.40667,5.471495,,
NIGERIA,155,5.425152,5.435292,,
NIGERIA,156,5.446373,5.447587,,
NIGERIA,157,5.466224,5.429827,,
NIGERIA,158,5.428575,5.414118,,
NIGERIA,159,5.389554,5.427095,,
NIGERIA,160,5.394346,5.361521,,
NIGERIA,161,5.430628,5.266575,,
NIGERIA,162,5.460062,5.223542,,
NIGERIA,163,5.51689,5.175667,,
NIGERIA,164,5.563448,5.176351,,
NIGERIA,165,5.598363,5.2071,,
NIGERIA,166,5.596993,5.27885,,
NIGERIA,167,5.579194,5.346498,,
NIGERIA,168,5.581933,5.366998,,
NIGERIA,169,5.553862,5.352649,,
NIGERIA,170,5.594941,5.399115,,
NIGERIA,171,5.6367,5.405265,,
NIGERIA,172,5.631908,5.459931,,
NIGERIA,173,5.610001,5.486581,,
NIGERIA,174,5.622323,5.54603,,
NIGERIA,175,5.623693,5.502297,,
NIGERIA,176,5.658605,5.436015,,
NIGERIA,177,5.65176,5.403899,,
NIGERIA,178,5.600417,5.371099,,
NIGERIA,179,5.610001,5.32805,,
NIGERIA,180,5.6456,5.310283,,
NIGERIA,181,5.677772,5.329416,,
NIGERIA,182,5.703782,5.32805,,
NIGERIA,183,5.693515,5.361532,,
NIGERIA,184,5.727738,5.320533,,
NIGERIA,185,5.623008,5.288416,,
NIGERIA,186,5.625062,5.208467,,
NIGERIA,187,5.597656,5.175643,,
NIGERIA,188,5.625733,5.142834,,
NIGERIA,189,5.710636,5.08747,,
NIGERIA,190,5.755137,5.082003,,
NIGERIA,191,5.793472,5.095672,,
NIGERIA,192,5.807849,5.12438,,
NIGERIA,193,5.793472,5.142151,,
NIGERIA,194,5.748291,5.15377,,
NIGERIA,195,5.74966,5.181111,,
NIGERIA,196,5.755822,5.158555,,
NIGERIA,197,5.814009,5.146252,,
NIGERIA,198,5.854395,5.196831,,
NIGERIA,199,5.868084,5.233742,,
NIGERIA,200,5.858501,5.247411,,
NIGERIA,201,5.888618,5.265183,,
NIGERIA,202,5.903675,5.288421,,
NIGERIA,203,5.895463,5.295941,,
NIGERIA,204,5.92147,5.308244,,
NIGERIA,205,5.968007,5.372493,,
NIGERIA,206,5.974166,5.354039,,
NIGERIA,207,5.920102,5.290473,,
NIGERIA,208,5.924208,5.265867,,
NIGERIA,209,5.908466,5.263816,,
NIGERIA,210,5.891356,5.243993,,
NIGERIA,211,5.892725,5.209134,,
NIGERIA,212,5.878351,5.213919,,
NIGERIA,213,5.823592,5.101824,,
NIGERIA,214,5.794158,5.074484,,
NIGERIA,215,5.770197,5.066282,,
NIGERIA,216,5.775674,5.057396,,
NIGERIA,217,5.912557,4.967317,,
NIGERIA,218,6.01106,4.885333,,
NIGERIA,219,6.150574,4.726828,,
NIGERIA,220,6.322143,4.499812,,
NIGERIA,221,6.372107,4.373253,,
NIGERIA,222,6.393335,4.224757,,
NIGERIA,223,6.422088,4.026328,,
NIGERIA,224,6.44194,3.83951,,
NIGERIA,225,6.425512,3.645166,,
NIGERIA,226,6.427566,3.442594,,
NIGERIA,227,6.43099,3.443961,,
NIGERIA,228,6.447419,3.472704,,
NIGERIA,229,6.457003,3.469968,,
NIGERIA,230,6.440573,3.49392,,
NIGERIA,231,6.465218,3.517188,,
NIGERIA,232,6.459741,3.548668,,
NIGERIA,233,6.48849,3.582202,,
NIGERIA,234,6.50218,3.576042,,
NIGERIA,235,6.513816,3.587676,,
NIGERIA,236,6.513818,3.610949,,
NIGERIA,237,6.495337,3.630796,,
NIGERIA,238,6.51108,3.630796,,
NIGERIA,239,6.515188,3.671177,,
NIGERIA,240,6.530931,3.691024,,
NIGERIA,241,6.528877,3.727298,,
NIGERIA,242,6.592532,3.771785,,
NIGERIA,243,6.5939,3.864863,,
NIGERIA,244,6.620592,3.87513,,
NIGERIA,245,6.617854,3.748514,,
NIGERIA,246,6.626066,3.716346,,
NIGERIA,247,6.55557,3.631495,,
NIGERIA,248,6.566519,3.585649,,
NIGERIA,249,6.537777,3.559645,,
NIGERIA,250,6.542568,3.540486,,
NIGERIA,251,6.533671,3.527483,,
NIGERIA,252,6.539831,3.489164,,
NIGERIA,253,6.550779,3.476163,,
NIGERIA,254,6.595259,3.493269,,
NIGERIA,255,6.615103,3.480952,,
NIGERIA,256,6.603472,3.458371,,
NIGERIA,257,6.589786,3.458371,,
NIGERIA,258,6.590469,3.44058,,
NIGERIA,259,6.562414,3.428946,,
NIGERIA,260,6.570625,3.404313,,
NIGERIA,261,6.513823,3.402944,,
NIGERIA,262,6.492607,3.383783,,
NIGERIA,263,6.470021,3.382416,,
NIGERIA,264,6.469337,3.36736,,
NIGERIA,265,6.439904,3.383783,,
NIGERIA,266,6.431006,3.355043,,
NIGERIA,267,6.400887,3.356412,,
