,Vessel Name,IMO,MMSI,Latitude,Longitude,Date,Direction,Degrees,Speed,Source,Mod_lat,Mod_long,lat_noise,long_noise
26,MAERSK KIMI,9162227,244132000,16° 56.700' N,054° 00.500' E,15/06/2019 03:32:28 +00:00,W,266,0.0,S-AIS,16.945,54.00833333333333,16.943055227132813,54.00498257657923
27,MAERSK KIMI,9162227,244132000,16° 56.700' N,054° 00.500' E,15/06/2019 03:50:31 +00:00,W,266,0.0,S-AIS,16.945,54.00833333333333,16.943255231404073,54.01624667212989
28,MAERSK KIMI,9162227,244132000,16° 56.790' N,054° 00.554' E,15/06/2019 04:38:25 +00:00,W,266,0.1,T-AIS,16.9465,54.009233333333334,16.940755253731798,54.00673648556082
29,MAERSK KIMI,9162227,244132000,16° 56.785' N,054° 00.552' E,15/06/2019 05:11:26 +00:00,W,266,0.1,T-AIS,16.946416666666668,54.0092,16.94717703919606,54.016280031050606
30,MAERSK KIMI,9162227,244132000,16° 56.789' N,054° 00.565' E,15/06/2019 05:41:21 +00:00,W,266,0.0,T-AIS,16.946483333333333,54.00941666666667,16.943702886591815,54.00810792558477
31,MAERSK KIMI,9162227,244132000,16° 56.787' N,054° 00.559' E,15/06/2019 06:14:22 +00:00,W,266,0.0,T-AIS,16.94645,54.00931666666666,16.94029035708829,54.01526888310715
32,MAERSK KIMI,9162227,244132000,16° 56.786' N,054° 00.555' E,15/06/2019 07:05:22 +00:00,W,266,0.1,T-AIS,16.946433333333335,54.00925,16.948732774022293,54.01914404378507
33,MAERSK KIMI,9162227,244132000,16° 56.776' N,054° 00.580' E,15/06/2019 08:47:26 +00:00,N,10,0.1,T-AIS,16.946266666666666,54.00966666666667,16.948623081703794,54.011983921041654
34,MAERSK KIMI,9162227,244132000,16° 56.787' N,054° 00.556' E,15/06/2019 09:17:21 +00:00,NNW,344,0.1,T-AIS,16.94645,54.00926666666667,16.951511697947748,54.010050578035894
35,MAERSK KIMI,9162227,244132000,16° 56.786' N,054° 00.554' E,15/06/2019 09:50:24 +00:00,N,351,0.1,T-AIS,16.946433333333335,54.009233333333334,16.95187500445,54.012495286636586
36,MAERSK KIMI,9162227,244132000,16° 56.786' N,054° 00.555' E,15/06/2019 10:32:27 +00:00,N,351,0.0,T-AIS,16.946433333333335,54.00925,16.94710820231154,54.01465901724119
37,MAERSK KIMI,9162227,244132000,16° 56.785' N,054° 00.556' E,15/06/2019 12:20:37 +00:00,N,351,0.1,T-AIS,16.946416666666668,54.00926666666667,16.949840391798585,54.01508223882024
