VName,Voyage,Leg,LOcode,Port_Name,Latitude,Longitude
Maersk Kimi,921E,1,OMSLL,Salalah,16.953125,54.00435
Maersk Kimi,921E,2,QADOH,Doha,25.305,51.552
Maersk Kimi,921E,3,AEJEA,Jebel Ali,25.00328,55.052065
Maersk Kimi,921E,4,INPAV,Pipavav,20.9175,71.50515
Maersk Kimi,921E,5,NHZR,Hazira,21.1076,72.651155
Maersk Kimi,921E,6,INNSA,Jawaharlal Nehru,18.952,72.948
Maersk Kimi,926W,1,AEJEA,Jebel Ali,25.00328,55.052065
